lack,-2
lackadaisical,-2
lag,-1
lagged,-2
lagging,-2
lags,-2
lame,-2
landmark,2
laugh,1
laughed,1
laughing,1
laughs,1
laughting,1
launched,1
lawl,3
lawsuit,-2
lawsuits,-2
lazy,-1
leak,-1
leaked,-1
leave,-1
legal,1
legally,1
lenient,1
lethargic,-2
lethargy,-2
liar,-3
liars,-3
libelous,-2
lied,-2
lifesaver,4
lighthearted,1
like,2
liked,2
likes,2
limitation,-1
limited,-1
limits,-1
litigation,-1
litigious,-2
lively,2
livid,-2
lmao,4
lmfao,4
loathe,-3
loathed,-3
loathes,-3
loathing,-3
lobby,-2
lobbying,-2
lol,3
lonely,-2
lonesome,-2
longing,-1
loom,-1
loomed,-1
looming,-1
looms,-1
loose,-3
looses,-3
loser,-3
losing,-3
loss,-3
lost,-3
lovable,3
love,3
loved,3
lovelies,3
lovely,3
loving,2
lowest,-1
loyal,3
loyalty,3
luck,3
luckily,3
lucky,3
lugubrious,-2
lunatic,-3
lunatics,-3
lurk,-1
lurking,-1
lurks,-1
